iata_code,name,municipality,iso_country,iso_region,type,latitude_deg,longitude_deg
CPO,Desierto de Atacama Airport,Copiapo,CL,CL-AT,medium_airport,-27.2612,-70.779198
CPR,Casper-Natrona County International Airport,Casper,US,US-WY,medium_airport,42.907381,-106.461609
CPT,Cape Town International Airport,Cape Town,ZA,ZA-WC,large_airport,-33.97403,18.604333
CPV,Presidente João Suassuna Airport,Campina Grande,BR,BR-PB,medium_airport,-7.269662,-35.896057
CPX,Benjamin Rivera Noriega Airport,Culebra,PR,PR-U-A,medium_airport,18.312954,-65.303893
CQW,Chongqing Xiannüshan Airport,Wulong,CN,CN-50,medium_airport,29.465658,107.693664
CRA,Craiova International Airport,Craiova,RO,RO-DJ,large_airport,44.3181,23.888599
CRD,General Enrique Mosconi International Airport,Comodoro Rivadavia,AR,AR-U,large_airport,-45.786941,-67.463355
CRI,Colonel Hill Airport,Colonel Hill,BS,BS-CK,medium_airport,22.7456,-74.182404
CRK,Clark International Airport / Clark Air Base,Mabalacat,PH,PH-PAM,large_airport,15.186,120.559998
CRL,Brussels South Charleroi Airport,Charleroi,BE,BE-WHT,large_airport,50.461963,4.459562
CRM,Catarman National Airport,Catarman,PH,PH-NSA,medium_airport,12.50161,124.635258
CRP,Corpus Christi International Airport,Corpus Christi,US,US-TX,medium_airport,27.770399,-97.501198
CRU,Lauriston Airport,Carriacou Island,GD,GD-PA,small_airport,12.4761,-61.472801
CRV,Crotone Sant'Anna Pythagoras Airport,Isola di Capo Rizzuto (KR),IT,IT-78,medium_airport,38.9972,17.0802
CRW,Yeager Airport,Charleston,US,US-WV,medium_airport,38.3731,-81.593201
CRZ,Türkmenabat International Airport,Türkmenabat,TM,TM-L,large_airport,38.930662,63.563982
CSA,Colonsay Airstrip,Colonsay,GB,GB-SCT,small_airport,56.057499,-6.24306
CSG,Columbus Airport,Columbus,US,US-GA,medium_airport,32.516415,-84.939602
CSH,Solovki Airport,Solovetsky Islands,RU,RU-ARK,small_airport,65.029996,35.730558
CSK,Cap Skirring Airport,Cap Skirring,SN,SN-ZG,medium_airport,12.39533,-16.748
CSW,Cabo San Lucas International Airport,Cabo San Lucas,MX,MX-BCS,medium_airport,22.949072,-109.939479
CSX,Changsha Huanghua International Airport,Changsha (Changsha),CN,CN-43,large_airport,28.189199,113.220001
CSY,Cheboksary Airport,Cheboksary,RU,RU-CU,medium_airport,56.090302,47.347301
CTA,Catania-Fontanarossa Airport,Catania,IT,IT-82,large_airport,37.466801,15.0664
CTC,Coronel Felipe Varela International Airport,Catamarca,AR,AR-K,medium_airport,-28.593117,-65.7512
CTD,Alonso Valderrama Airport,Chitré,PA,PA-6,medium_airport,7.98784,-80.409837
CTG,Rafael Nuñez International Airport,Cartagena,CO,CO-BOL,large_airport,10.4424,-75.513
CTL,Charleville Airport,Charleville,AU,AU-QLD,medium_airport,-26.4132995605,146.261993408
CTM,Chetumal International Airport,Chetumal,MX,MX-ROO,medium_airport,18.504985,-88.328018
CTN,Cooktown Airport,,AU,AU-QLD,medium_airport,-15.443649,145.183221
CTS,New Chitose Airport,Sapporo,JP,JP-01,large_airport,42.774753,141.690414
CTU,Chengdu Shuangliu International Airport,Chengdu (Shuangliu),CN,CN-51,large_airport,30.558257,103.945966
CUA,Ciudad Constitución National Airport,Comondú,MX,MX-BCS,small_airport,25.053801,-111.614998
CUC,Camilo Daza International Airport,Cúcuta,CO,CO-NSA,medium_airport,7.92757,-72.5115
CUE,Mariscal Lamar Airport,Cuenca,EC,EC-A,medium_airport,-2.88947,-78.984398
CUF,Cuneo International Airport,Levaldigi (CN),IT,IT-21,medium_airport,44.547458,7.623045
CUK,Caye Caulker Airport,Caye Caulker,BZ,BZ-BZ,medium_airport,17.735015,-88.032862
CUL,Bachigualato Federal International Airport,Culiacán,MX,MX-SIN,large_airport,24.76504,-107.475228
CUM,Antonio José de Sucre Airport,Cumaná,VE,VE-R,medium_airport,10.450333,-64.13047
CUN,Cancún International Airport,Cancún,MX,MX-ROO,large_airport,21.040817,-86.87347
CUP,General Francisco Bermúdez Airport,Carúpano,VE,VE-R,medium_airport,10.660014,-63.261681
CUQ,Coen Airport,Coen,AU,AU-QLD,medium_airport,-13.761133,143.113311
CUR,Hato International Airport,Willemstad,CW,CW-U-A,large_airport,12.1889,-68.959801
CUU,General Roberto Fierro Villalobos International Airport,Chihuahua,MX,MX-CHH,large_airport,28.702649,-105.963764
CUZ,Alejandro Velasco Astete International Airport,Cusco,PE,PE-CUS,large_airport,-13.535699844400002,-71.9387969971
CVG,Cincinnati Northern Kentucky International Airport,Cincinnati / Covington,US,US-KY,large_airport,39.048801,-84.667801
CVM,General Pedro Jose Mendez International Airport,Ciudad Victoria,MX,MX-TAM,medium_airport,23.7033,-98.956497
CVN,Clovis Municipal Airport,Clovis,US,US-NM,medium_airport,34.426594,-103.078794
CVQ,Carnarvon Airport,Carnarvon,AU,AU-WA,medium_airport,-24.884337,113.666393
CVU,Corvo Airport,Corvo,PT,PT-20,small_airport,39.671501,-31.1136
CWA,Central Wisconsin Airport,Mosinee,US,US-WI,medium_airport,44.777448,-89.670238
CWB,Curitiba-Afonso Pena International Airport,Curitiba,BR,BR-PR,large_airport,-25.5285,-49.1758
CWJ,Cangyuan Washan Airport,Lincang (Cangyuan),CN,CN-53,medium_airport,23.276331,99.373169
CWL,Cardiff International Airport,Cardiff,GB,GB-WLS,large_airport,51.396702,-3.34333
CWS,Center Island Airport,Center Island,US,US-WA,small_airport,48.490046,-122.831612
CXB,Cox's Bazar Airport,Cox's Bazar,BD,BD-B,medium_airport,21.457517,91.963263
CXI,Cassidy International Airport,Kiritimati,KI,KI-L,large_airport,1.986278,-157.350011
CXJ,Hugo Cantergiani Regional Airport,Caxias Do Sul,BR,BR-RS,medium_airport,-29.197183,-51.187647
CXP,Tunggul Wulung Airport,Cilacap,ID,ID-JT,medium_airport,-7.64506,109.033997
CXR,Cam Ranh International Airport / Cam Ranh Air Base,Nha Trang/nha Trang aiurportCam Ranh,VN,VN-SCC,large_airport,11.9982,109.219002
CYA,Antoine-Simon International Airport,Les Cayes,HT,HT-SD,medium_airport,18.271099,-73.7883
CYB,Charles Kirkconnell International Airport,West End,KY,KY-CB,medium_airport,19.687,-79.882797
CYC,Caye Chapel Airport,Caye Chapel,BZ,BZ-BZ,medium_airport,17.683792,-88.044985
CYF,Chefornak Airport,Chefornak,US,US-AK,small_airport,60.136667,-164.279167
CYI,Chiayi Airport,Shuishang,TW,TW-CYQ,medium_airport,23.462577,120.390544
CYO,Vilo Acuña International Airport,Cayo Largo del Sur,CU,CU-99,medium_airport,21.6165008545,-81.5459976196
CYP,Calbayog Airport,Calbayog City,PH,PH-WSA,medium_airport,12.072574,124.54508
CYS,Cheyenne Regional Jerry Olson Field,Cheyenne,US,US-WY,medium_airport,41.155701,-104.811997
CYT,Yakataga Airport,Yakataga,US,US-AK,small_airport,60.080974,-142.494541
CYU,Cuyo Airport,Cuyo,PH,PH-PLW,small_airport,10.8581,121.069
CYX,Cherskiy Airport,Cherskiy,RU,RU-SA,medium_airport,68.740601,161.337997
CYZ,Cauayan Airport,Cauayan City,PH,PH-ISA,medium_airport,16.9298992157,121.752998352
CZE,José Leonardo Chirinos Airport,Coro,VE,VE-I,medium_airport,11.414944,-69.680901
CZH,Corozal Airport,Corozal,BZ,BZ-CZL,medium_airport,18.3822,-88.411903
